"layer","cellID","Region","RegionID","District","DistrictID","Ward","WardID","Village","VillageID","VillCens","VillIDCens","PA","Urban"
1,32413,"Lindi",2,"Liwale",3,"Nangano",349,"Mitungunyu",1186,"Mitungunyu",2572,0,0
1,32414,"Lindi",2,"Liwale",3,"Nangano",349,"Mitungunyu",1186,"Mitungunyu",2572,0,0
1,32415,"Lindi",2,"Liwale",3,"Nangano",349,"Mitungunyu",1186,"Mitungunyu",2572,0,0
1,32416,"Lindi",2,"Liwale",3,"Nangano",349,"Nahoro",2558,"Nahoro",2308,0,0
1,32417,"Lindi",2,"Liwale",3,"Nangano",349,"Nahoro",2558,"Nahoro",2308,0,0
1,32418,"Lindi",2,"Liwale",3,"Nangano",349,"Nahoro",2558,"Nahoro",2308,0,0
1,32419,"Lindi",2,"Nachingwea",2,"Mbondo",322,"Chimbendenga",506,"Chimbendenga",2434,0,0
1,32420,"Lindi",2,"Nachingwea",2,"Mbondo",322,"Chimbendenga",506,"Chimbendenga",2434,0,0
1,32421,"Lindi",2,"Nachingwea",2,"Mbondo",322,"Chimbendenga",506,"Chimbendenga",2434,0,0
1,32422,"Lindi",2,"Nachingwea",2,"Lionja",318,"Lipuyu",1786,"Lipuyu",945,0,0
1,32423,"Lindi",2,"Nachingwea",2,"Lionja",318,"Lipuyu",1786,"Lipuyu",945,0,0
1,32424,"Lindi",2,"Nachingwea",2,"Lionja",318,"Lipuyu",1786,"Lipuyu",945,0,0
1,32425,"Lindi",2,"Nachingwea",2,"Lionja",318,"Lipuyu",1786,"Lipuyu",945,0,0
1,32426,"Lindi",2,"Nachingwea",2,"Lionja",318,"Lionja 'B'",953,"Lionja 'B'",1576,0,0
1,32427,"Lindi",2,"Nachingwea",2,"Lionja",318,"Lionja 'B'",953,"Lionja 'B'",1576,0,0
1,32428,"Lindi",2,"Nachingwea",2,"Lionja",318,"Lionja 'B'",953,"Lionja 'B'",1576,0,0
1,32429,"Lindi",2,"Nachingwea",2,"Lionja",318,"Lionja 'A'",1941,"Lionja 'A'",18,0,0
1,32430,"Lindi",2,"Nachingwea",2,"Lionja",318,"Lionja 'A'",1941,"Lionja 'A'",18,0,0
1,32431,"Lindi",2,"Nachingwea",2,"Mtua",332,"Nalengwe",2596,"Nalengwe",1948,0,0
1,32432,"Lindi",2,"Nachingwea",2,"Namikango",319,"Nangunde",1372,"Nangunde",2869,0,0
1,32433,"Lindi",2,"Nachingwea",2,"Namikango",319,"Nangunde",1372,"Nangunde",2869,0,0
1,32434,"Lindi",2,"Nachingwea",2,"Mneromiembeni",315,"Namkula",598,"Namkula",2430,0,0
1,32435,"Lindi",2,"Nachingwea",2,"Mneromiembeni",315,"Mneromiembeni",900,"Mneromiembeni",441,0,0
1,32436,"Lindi",2,"Nachingwea",2,"Mneromiembeni",315,"Mneromiembeni",900,"Mneromiembeni",441,0,0
