"X","ID","Biter_ID","Freq","prop"
1060,72,86,873,1.746
1061,72,90,382,0.764
1062,72,152,1,0.002
1063,72,178,36,0.072
1064,73,72,3,0.006
1065,73,74,3,0.006
1066,73,75,146,0.292
1067,73,87,1,0.002
1068,73,168,142,0.284
1069,73,169,24,0.048
1070,73,170,47005,94.01
1071,73,172,12,0.024
1072,73,173,1,0.002
1073,73,174,50,0.1
1074,73,176,2613,5.226
1075,76,66,1,0.002
1076,76,67,1179,2.358
1077,76,72,3491,6.982
1078,76,74,826,1.652
1079,76,77,41073,82.146
1080,76,86,1,0.002
1081,76,90,26,0.052
1082,76,171,3403,6.806
1083,74,34,11,0.022
1084,74,35,10,0.02
1085,74,36,10,0.02
1086,74,37,8,0.016
1087,74,38,16,0.032
1088,74,39,5,0.01
1089,74,65,4,0.008
1090,74,66,11,0.022
1091,74,71,6757,13.514
1092,74,84,14975,29.95
1093,74,86,3837,7.674
1094,74,90,23597,47.194
1095,74,178,759,1.518
1096,75,25,3,0.006
1097,75,30,46,0.092
1098,75,51,1,0.002
1099,75,67,86,0.172
1100,75,68,62,0.124
1101,75,71,1,0.002
1102,75,72,319,0.638
1103,75,74,164,0.328
1104,75,76,138,0.276
1105,75,77,47,0.094
1106,75,78,8,0.016
1107,75,79,2,0.004
1108,75,81,81,0.162
1109,75,84,2,0.004
1110,75,85,41,0.082
1111,75,86,4,0.008
1112,75,167,145,0.29
1113,75,171,144,0.288
1114,75,172,48516,97.032
1115,75,173,173,0.346
1116,75,175,13,0.026
1117,75,177,4,0.008
1118,77,22,1,0.002
1119,77,24,2,0.004
1120,77,71,14,0.028
1121,77,72,37751,75.502
1122,77,74,11047,22.094
1123,77,84,7,0.014
