"ID","biter_ID","ID_species","Biter_species","ID_Time_diff","Biter_Time_diff","ID_lat","ID_long","Biter_lat","Biter_long","Year","ID_accuracy","Biter_accuracy","Serial_Int","Bite_dist","Species_trans"
440,437,2,1,2237,1890,NA,NA,NA,NA,2016,14,7,347,12374.9152990162,"DW"
435,437,1,1,1892,1890,NA,NA,NA,NA,2016,7,7,2,5138.72766520854,"DD"
438,453,2,1,61,51,NA,NA,NA,NA,2011,7,7,10,12230.8988232375,"DW"
436,443,2,1,533,530,NA,NA,NA,NA,2012,7,7,3,22349.5304474968,"DW"
439,449,2,1,1196,1130,NA,NA,NA,NA,2014,7,7,66,16031.4725495249,"DW"
441,451,1,2,1748,1312,NA,NA,NA,NA,2014,14,7,436,6319.67919215773,"WD"
443,447,1,2,530,466,NA,NA,NA,NA,2012,7,7,64,5552.23223382477,"WD"
442,433,1,2,14,2,NA,NA,NA,NA,2011,7,7,12,24325.213329621,"WD"
445,433,1,2,43,2,NA,NA,NA,NA,2011,7,7,41,8184.20878139093,"WD"
444,445,1,1,160,43,NA,NA,NA,NA,2011,7,7,117,6710.73926033081,"DD"
449,443,1,1,1130,530,NA,NA,NA,NA,2012,7,7,600,6087.43776968807,"DD"
447,448,2,2,466,398,NA,NA,NA,NA,2012,7,7,68,490.04722459111,"WW"
452,447,1,2,466,466,NA,NA,NA,NA,2012,7,7,0,11297.60270631,"WD"
453,445,1,1,51,43,NA,NA,NA,NA,2011,7,7,8,11931.3218430534,"DD"
451,446,2,1,1312,1279,NA,NA,NA,NA,2014,7,7,33,11518.9544175415,"DW"
446,449,1,1,1279,1130,NA,NA,NA,NA,2014,7,7,149,70.5732278763428,"DD"
448,450,2,1,398,252,NA,NA,NA,NA,2011,7,7,146,2370.17223923582,"DW"
450,444,1,1,252,160,NA,NA,NA,NA,2011,7,7,92,7956.6793739879,"DD"
426,444,2,1,181,160,NA,NA,NA,NA,2011,7,7,21,6302.5971349296,"DW"
459,455,4,1,1600,1266,NA,NA,NA,NA,2014,7,7,334,6965.47705662548,"Dc"
454,456,1,1,304,273,NA,NA,NA,NA,2011,7,7,31,1858.96394553533,"DD"
455,454,1,1,1266,304,NA,NA,NA,NA,2011,7,7,962,1274.10335930069,"DD"
457,454,1,1,546,304,NA,NA,NA,NA,2011,7,7,242,6830.08464649957,"DD"
458,459,1,4,1661,1600,NA,NA,NA,NA,2015,7,7,61,1110.21694869182,"CD"
456,462,1,1,273,220,NA,NA,NA,NA,2011,7,7,53,15986.3550397175,"DD"
460,16,1,2,214,209,NA,NA,NA,NA,2011,7,7,5,24304.3663135745,"WD"
462,460,1,1,220,214,NA,NA,NA,NA,2011,7,7,6,19932.7154230439,"DD"
461,492,1,1,593,556,NA,NA,NA,NA,2012,7,7,37,10831.5545301019,"DD"
