"layer","cellID","District","DistrictID","Village","VillageID","PA"
1,450,"Serengeti",1,"Tamkeri",86,1
1,451,"Serengeti",1,"Tamkeri",86,1
1,452,"Serengeti",1,"Tamkeri",86,1
1,453,"Serengeti",1,"Tamkeri",86,1
1,454,"Serengeti",1,"Tamkeri",86,1
1,455,"Serengeti",1,"Tamkeri",86,1
1,456,"Serengeti",1,"Tamkeri",86,1
1,457,"Serengeti",1,"Tamkeri",86,1
1,458,"Serengeti",1,"Tamkeri",86,1
1,459,"Serengeti",1,"Tamkeri",86,1
1,460,"Serengeti",1,"Tamkeri",86,1
1,461,"Serengeti",1,"Tamkeri",86,1
1,462,"Serengeti",1,"Tamkeri",86,1
1,463,"Serengeti",1,"Tamkeri",86,1
1,464,"Serengeti",1,"Tamkeri",86,1
1,465,"Serengeti",1,"Kenyamonta",5,0
1,466,"Serengeti",1,"Nyagasense",4,0
1,467,"Serengeti",1,"Nyagasense",4,0
1,468,"Serengeti",1,"Nyagasense",4,0
1,469,"Serengeti",1,"Mesaga",3,0
1,470,"Serengeti",1,"Mesaga",3,0
1,471,"Serengeti",1,"Masinki",69,0
1,472,"Serengeti",1,"Ring'wani",18,0
1,473,"Serengeti",1,"Ring'wani",18,0
1,474,"Serengeti",1,"Ring'wani",18,0
1,475,"Serengeti",1,"Kenyana",17,0
1,476,"Serengeti",1,"Kenyana",17,0
1,477,"Serengeti",1,"Kenyana",17,0
1,478,"Serengeti",1,"Kenyana",17,0
1,479,"Serengeti",1,"Musati",13,0
1,480,"Serengeti",1,"Musati",13,0
1,481,"Serengeti",1,"Kebanchabancha",15,0
1,482,"Serengeti",1,"Kebanchabancha",15,0
1,483,"Serengeti",1,"Kitarungu",75,0
1,484,"Serengeti",1,"Gesarya",19,0
1,485,"Serengeti",1,"Gesarya",19,0
1,486,"Serengeti",1,"Gesarya",19,0
1,487,"Serengeti",1,"Manyata",25,0
1,488,"Serengeti",1,"Manyata",25,0
1,489,"Serengeti",1,"Manyata",25,0
1,490,"Serengeti",1,"Nyamakendo",24,0
1,491,"Serengeti",1,"Nyamakendo",24,0
1,492,"Serengeti",1,"Mbalibali",85,1
1,493,"Serengeti",1,"Mbalibali",85,1
1,494,"Serengeti",1,"Tamkeri",86,1
1,495,"Serengeti",1,"Tamkeri",86,1
1,496,"Serengeti",1,"Tamkeri",86,1
1,497,"Serengeti",1,"Tamkeri",86,1
1,498,"Serengeti",1,"Tamkeri",86,1
1,499,"Serengeti",1,"Tamkeri",86,1
1,500,"Serengeti",1,"Tamkeri",86,1
1,501,"Serengeti",1,"Tamkeri",86,1
1,502,"Serengeti",1,"Tamkeri",86,1
1,503,"Serengeti",1,"Tamkeri",86,1
1,504,"Serengeti",1,"Tamkeri",86,1
1,505,"Serengeti",1,"Tamkeri",86,1
1,506,"Serengeti",1,"Tamkeri",86,1
1,507,"Serengeti",1,"Tamkeri",86,1
1,508,"Serengeti",1,"Tamkeri",86,1
1,509,"Serengeti",1,"Tamkeri",86,1
1,510,"Serengeti",1,"Tamkeri",86,1
1,511,"Serengeti",1,"Tamkeri",86,1
1,512,"Serengeti",1,"Tamkeri",86,1
1,513,"Serengeti",1,"Tamkeri",86,1
1,514,"Serengeti",1,"Tamkeri",86,1
1,515,"Serengeti",1,"Tamkeri",86,1
1,516,"Serengeti",1,"Tamkeri",86,1
1,517,"Serengeti",1,"Tamkeri",86,1
1,518,"Serengeti",1,"Tamkeri",86,1
1,519,"Serengeti",1,"Tamkeri",86,1
1,520,"Serengeti",1,"Tamkeri",86,1
1,521,"Serengeti",1,"Kenyamonta",5,0
1,522,"Serengeti",1,"Kenyamonta",5,0
1,523,"Serengeti",1,"Nyagasense",4,0
1,524,"Serengeti",1,"Nyagasense",4,0
1,525,"Serengeti",1,"Magange",70,0
1,526,"Serengeti",1,"Magange",70,0
1,527,"Serengeti",1,"Masinki",69,0
1,528,"Serengeti",1,"Masinki",69,0
1,529,"Serengeti",1,"Ring'wani",18,0
1,530,"Serengeti",1,"Ring'wani",18,0
1,531,"Serengeti",1,"Kenyana",17,0
1,532,"Serengeti",1,"Kenyana",17,0
1,533,"Serengeti",1,"Kenyana",17,0
